Xiawei_ID,Name,Data
5,ID_5_Number_17,"17 参照示例文案结构，文案仿写，要求文案结构一致，语言风格一致，主题父母，示例结构如下：在这个世界上，只有父母给我们吃的饭是免费的，其他每一餐都需要付出代价。
如果有一天啊你把父母的心伤透了，那在这世界上可能真的找不到一个人无私的对你这么好了。"
5,ID_5_Number_18,"18 参照示例文案结构，文案仿写，要求文案结构一致，语言风格一致，主题父母，示例结构如下：在这个世界上，只有父母给我们吃的饭是免费的，其他每一餐都需要付出代价。
如果有一天啊你把父母的心伤透了，那在这世界上可能真的找不到一个人无私的对你这么好了。"
5,ID_5_Number_19,"19 参照示例文案结构，文案仿写，要求文案结构一致，语言风格一致，主题父母，示例结构如下：在这个世界上，只有父母给我们吃的饭是免费的，其他每一餐都需要付出代价。
如果有一天啊你把父母的心伤透了，那在这世界上可能真的找不到一个人无私的对你这么好了。"
5,ID_5_Number_20,"20 参照示例文案结构，文案仿写，要求文案结构一致，语言风格一致，主题父母，示例结构如下：在这个世界上，只有父母给我们吃的饭是免费的，其他每一餐都需要付出代价。
如果有一天啊你把父母的心伤透了，那在这世界上可能真的找不到一个人无私的对你这么好了。"
5,ID_5_Number_21,"21 参照示例文案结构，文案仿写，要求文案结构一致，语言风格一致，主题父母，示例结构如下：在这个世界上，只有父母给我们吃的饭是免费的，其他每一餐都需要付出代价。
如果有一天啊你把父母的心伤透了，那在这世界上可能真的找不到一个人无私的对你这么好了。"
5,ID_5_Number_22,"22 参照示例文案结构，文案仿写，要求文案结构一致，语言风格一致，主题父母，示例结构如下：在这个世界上，只有父母给我们吃的饭是免费的，其他每一餐都需要付出代价。
如果有一天啊你把父母的心伤透了，那在这世界上可能真的找不到一个人无私的对你这么好了。"
5,ID_5_Number_23,"23 参照示例文案结构，文案仿写，要求文案结构一致，语言风格一致，主题父母，示例结构如下：在这个世界上，只有父母给我们吃的饭是免费的，其他每一餐都需要付出代价。
如果有一天啊你把父母的心伤透了，那在这世界上可能真的找不到一个人无私的对你这么好了。"
5,ID_5_Number_24,"24 参照示例文案结构，文案仿写，要求文案结构一致，语言风格一致，主题父母，示例结构如下：在这个世界上，只有父母给我们吃的饭是免费的，其他每一餐都需要付出代价。
如果有一天啊你把父母的心伤透了，那在这世界上可能真的找不到一个人无私的对你这么好了。"
5,ID_5_Number_25,"25 参照示例文案结构，文案仿写，要求文案结构一致，语言风格一致，主题父母，示例结构如下：在这个世界上，只有父母给我们吃的饭是免费的，其他每一餐都需要付出代价。
如果有一天啊你把父母的心伤透了，那在这世界上可能真的找不到一个人无私的对你这么好了。"
5,ID_5_Number_26,"26 参照示例文案结构，文案仿写，要求文案结构一致，语言风格一致，主题父母，示例结构如下：在这个世界上，只有父母给我们吃的饭是免费的，其他每一餐都需要付出代价。
如果有一天啊你把父母的心伤透了，那在这世界上可能真的找不到一个人无私的对你这么好了。"
5,ID_5_Number_27,"27 参照示例文案结构，文案仿写，要求文案结构一致，语言风格一致，主题父母，示例结构如下：在这个世界上，只有父母给我们吃的饭是免费的，其他每一餐都需要付出代价。
如果有一天啊你把父母的心伤透了，那在这世界上可能真的找不到一个人无私的对你这么好了。"
5,ID_5_Number_28,"28 参照示例文案结构，文案仿写，要求文案结构一致，语言风格一致，主题父母，示例结构如下：在这个世界上，只有父母给我们吃的饭是免费的，其他每一餐都需要付出代价。
如果有一天啊你把父母的心伤透了，那在这世界上可能真的找不到一个人无私的对你这么好了。"
5,ID_5_Number_29,"29 参照示例文案结构，文案仿写，要求文案结构一致，语言风格一致，主题父母，示例结构如下：在这个世界上，只有父母给我们吃的饭是免费的，其他每一餐都需要付出代价。
如果有一天啊你把父母的心伤透了，那在这世界上可能真的找不到一个人无私的对你这么好了。"
5,ID_5_Number_30,"30 参照示例文案结构，文案仿写，要求文案结构一致，语言风格一致，主题父母，示例结构如下：在这个世界上，只有父母给我们吃的饭是免费的，其他每一餐都需要付出代价。
如果有一天啊你把父母的心伤透了，那在这世界上可能真的找不到一个人无私的对你这么好了。"
5,ID_5_Number_31,"31 参照示例文案结构，文案仿写，要求文案结构一致，语言风格一致，主题父母，示例结构如下：在这个世界上，只有父母给我们吃的饭是免费的，其他每一餐都需要付出代价。
如果有一天啊你把父母的心伤透了，那在这世界上可能真的找不到一个人无私的对你这么好了。"
5,ID_5_Number_32,"32 参照示例文案结构，文案仿写，要求文案结构一致，语言风格一致，主题父母，示例结构如下：在这个世界上，只有父母给我们吃的饭是免费的，其他每一餐都需要付出代价。
如果有一天啊你把父母的心伤透了，那在这世界上可能真的找不到一个人无私的对你这么好了。"
5,ID_5_Number_33,"33 参照示例文案结构，文案仿写，要求文案结构一致，语言风格一致，主题父母，示例结构如下：在这个世界上，只有父母给我们吃的饭是免费的，其他每一餐都需要付出代价。
如果有一天啊你把父母的心伤透了，那在这世界上可能真的找不到一个人无私的对你这么好了。"
5,ID_5_Number_34,"34 参照示例文案结构，文案仿写，要求文案结构一致，语言风格一致，主题父母，示例结构如下：在这个世界上，只有父母给我们吃的饭是免费的，其他每一餐都需要付出代价。
如果有一天啊你把父母的心伤透了，那在这世界上可能真的找不到一个人无私的对你这么好了。"
5,ID_5_Number_35,"35 参照示例文案结构，文案仿写，要求文案结构一致，语言风格一致，主题父母，示例结构如下：在这个世界上，只有父母给我们吃的饭是免费的，其他每一餐都需要付出代价。
如果有一天啊你把父母的心伤透了，那在这世界上可能真的找不到一个人无私的对你这么好了。"
5,ID_5_Number_36,"36 参照示例文案结构，文案仿写，要求文案结构一致，语言风格一致，主题父母，示例结构如下：在这个世界上，只有父母给我们吃的饭是免费的，其他每一餐都需要付出代价。
如果有一天啊你把父母的心伤透了，那在这世界上可能真的找不到一个人无私的对你这么好了。"
5,ID_5_Number_37,"37 参照示例文案结构，文案仿写，要求文案结构一致，语言风格一致，主题父母，示例结构如下：在这个世界上，只有父母给我们吃的饭是免费的，其他每一餐都需要付出代价。
如果有一天啊你把父母的心伤透了，那在这世界上可能真的找不到一个人无私的对你这么好了。"
5,ID_5_Number_38,"38 参照示例文案结构，文案仿写，要求文案结构一致，语言风格一致，主题父母，示例结构如下：在这个世界上，只有父母给我们吃的饭是免费的，其他每一餐都需要付出代价。
如果有一天啊你把父母的心伤透了，那在这世界上可能真的找不到一个人无私的对你这么好了。"
5,ID_5_Number_39,"39 参照示例文案结构，文案仿写，要求文案结构一致，语言风格一致，主题父母，示例结构如下：在这个世界上，只有父母给我们吃的饭是免费的，其他每一餐都需要付出代价。
如果有一天啊你把父母的心伤透了，那在这世界上可能真的找不到一个人无私的对你这么好了。"
5,ID_5_Number_40,"40 参照示例文案结构，文案仿写，要求文案结构一致，语言风格一致，主题父母，示例结构如下：在这个世界上，只有父母给我们吃的饭是免费的，其他每一餐都需要付出代价。
如果有一天啊你把父母的心伤透了，那在这世界上可能真的找不到一个人无私的对你这么好了。"
5,ID_5_Number_41,"41 参照示例文案结构，文案仿写，要求文案结构一致，语言风格一致，主题父母，示例结构如下：在这个世界上，只有父母给我们吃的饭是免费的，其他每一餐都需要付出代价。
如果有一天啊你把父母的心伤透了，那在这世界上可能真的找不到一个人无私的对你这么好了。"
5,ID_5_Number_42,"42 参照示例文案结构，文案仿写，要求文案结构一致，语言风格一致，主题父母，示例结构如下：在这个世界上，只有父母给我们吃的饭是免费的，其他每一餐都需要付出代价。
如果有一天啊你把父母的心伤透了，那在这世界上可能真的找不到一个人无私的对你这么好了。"
5,ID_5_Number_43,"43 参照示例文案结构，文案仿写，要求文案结构一致，语言风格一致，主题父母，示例结构如下：在这个世界上，只有父母给我们吃的饭是免费的，其他每一餐都需要付出代价。
如果有一天啊你把父母的心伤透了，那在这世界上可能真的找不到一个人无私的对你这么好了。"
5,ID_5_Number_44,"44 参照示例文案结构，文案仿写，要求文案结构一致，语言风格一致，主题父母，示例结构如下：在这个世界上，只有父母给我们吃的饭是免费的，其他每一餐都需要付出代价。
如果有一天啊你把父母的心伤透了，那在这世界上可能真的找不到一个人无私的对你这么好了。"
5,ID_5_Number_45,"45 参照示例文案结构，文案仿写，要求文案结构一致，语言风格一致，主题父母，示例结构如下：在这个世界上，只有父母给我们吃的饭是免费的，其他每一餐都需要付出代价。
如果有一天啊你把父母的心伤透了，那在这世界上可能真的找不到一个人无私的对你这么好了。"
5,ID_5_Number_46,"46 参照示例文案结构，文案仿写，要求文案结构一致，语言风格一致，主题父母，示例结构如下：在这个世界上，只有父母给我们吃的饭是免费的，其他每一餐都需要付出代价。
如果有一天啊你把父母的心伤透了，那在这世界上可能真的找不到一个人无私的对你这么好了。"
5,ID_5_Number_47,"47 参照示例文案结构，文案仿写，要求文案结构一致，语言风格一致，主题父母，示例结构如下：在这个世界上，只有父母给我们吃的饭是免费的，其他每一餐都需要付出代价。
如果有一天啊你把父母的心伤透了，那在这世界上可能真的找不到一个人无私的对你这么好了。"
5,ID_5_Number_48,"48 参照示例文案结构，文案仿写，要求文案结构一致，语言风格一致，主题父母，示例结构如下：在这个世界上，只有父母给我们吃的饭是免费的，其他每一餐都需要付出代价。
如果有一天啊你把父母的心伤透了，那在这世界上可能真的找不到一个人无私的对你这么好了。"
5,ID_5_Number_49,"49 参照示例文案结构，文案仿写，要求文案结构一致，语言风格一致，主题父母，示例结构如下：在这个世界上，只有父母给我们吃的饭是免费的，其他每一餐都需要付出代价。
如果有一天啊你把父母的心伤透了，那在这世界上可能真的找不到一个人无私的对你这么好了。"
5,ID_5_Number_50,"50 参照示例文案结构，文案仿写，要求文案结构一致，语言风格一致，主题父母，示例结构如下：在这个世界上，只有父母给我们吃的饭是免费的，其他每一餐都需要付出代价。
如果有一天啊你把父母的心伤透了，那在这世界上可能真的找不到一个人无私的对你这么好了。"
5,ID_5_Number_51,"51 参照示例文案结构，文案仿写，要求文案结构一致，语言风格一致，主题父母，示例结构如下：在这个世界上，只有父母给我们吃的饭是免费的，其他每一餐都需要付出代价。
如果有一天啊你把父母的心伤透了，那在这世界上可能真的找不到一个人无私的对你这么好了。"
5,ID_5_Number_52,"52 参照示例文案结构，文案仿写，要求文案结构一致，语言风格一致，主题父母，示例结构如下：在这个世界上，只有父母给我们吃的饭是免费的，其他每一餐都需要付出代价。
如果有一天啊你把父母的心伤透了，那在这世界上可能真的找不到一个人无私的对你这么好了。"
5,ID_5_Number_53,"53 参照示例文案结构，文案仿写，要求文案结构一致，语言风格一致，主题父母，示例结构如下：在这个世界上，只有父母给我们吃的饭是免费的，其他每一餐都需要付出代价。
如果有一天啊你把父母的心伤透了，那在这世界上可能真的找不到一个人无私的对你这么好了。"
5,ID_5_Number_54,"54 参照示例文案结构，文案仿写，要求文案结构一致，语言风格一致，主题父母，示例结构如下：在这个世界上，只有父母给我们吃的饭是免费的，其他每一餐都需要付出代价。
如果有一天啊你把父母的心伤透了，那在这世界上可能真的找不到一个人无私的对你这么好了。"
5,ID_5_Number_55,"55 参照示例文案结构，文案仿写，要求文案结构一致，语言风格一致，主题父母，示例结构如下：在这个世界上，只有父母给我们吃的饭是免费的，其他每一餐都需要付出代价。
如果有一天啊你把父母的心伤透了，那在这世界上可能真的找不到一个人无私的对你这么好了。"
5,ID_5_Number_56,"56 参照示例文案结构，文案仿写，要求文案结构一致，语言风格一致，主题父母，示例结构如下：在这个世界上，只有父母给我们吃的饭是免费的，其他每一餐都需要付出代价。
如果有一天啊你把父母的心伤透了，那在这世界上可能真的找不到一个人无私的对你这么好了。"
5,ID_5_Number_57,"57 参照示例文案结构，文案仿写，要求文案结构一致，语言风格一致，主题父母，示例结构如下：在这个世界上，只有父母给我们吃的饭是免费的，其他每一餐都需要付出代价。
如果有一天啊你把父母的心伤透了，那在这世界上可能真的找不到一个人无私的对你这么好了。"
5,ID_5_Number_58,"58 参照示例文案结构，文案仿写，要求文案结构一致，语言风格一致，主题父母，示例结构如下：在这个世界上，只有父母给我们吃的饭是免费的，其他每一餐都需要付出代价。
如果有一天啊你把父母的心伤透了，那在这世界上可能真的找不到一个人无私的对你这么好了。"
5,ID_5_Number_59,"59 参照示例文案结构，文案仿写，要求文案结构一致，语言风格一致，主题父母，示例结构如下：在这个世界上，只有父母给我们吃的饭是免费的，其他每一餐都需要付出代价。
如果有一天啊你把父母的心伤透了，那在这世界上可能真的找不到一个人无私的对你这么好了。"
5,ID_5_Number_60,"60 参照示例文案结构，文案仿写，要求文案结构一致，语言风格一致，主题父母，示例结构如下：在这个世界上，只有父母给我们吃的饭是免费的，其他每一餐都需要付出代价。
如果有一天啊你把父母的心伤透了，那在这世界上可能真的找不到一个人无私的对你这么好了。"
5,ID_5_Number_61,"61 参照示例文案结构，文案仿写，要求文案结构一致，语言风格一致，主题父母，示例结构如下：在这个世界上，只有父母给我们吃的饭是免费的，其他每一餐都需要付出代价。
如果有一天啊你把父母的心伤透了，那在这世界上可能真的找不到一个人无私的对你这么好了。"
5,ID_5_Number_62,"62 参照示例文案结构，文案仿写，要求文案结构一致，语言风格一致，主题父母，示例结构如下：在这个世界上，只有父母给我们吃的饭是免费的，其他每一餐都需要付出代价。
如果有一天啊你把父母的心伤透了，那在这世界上可能真的找不到一个人无私的对你这么好了。"
5,ID_5_Number_63,"63 参照示例文案结构，文案仿写，要求文案结构一致，语言风格一致，主题父母，示例结构如下：在这个世界上，只有父母给我们吃的饭是免费的，其他每一餐都需要付出代价。
如果有一天啊你把父母的心伤透了，那在这世界上可能真的找不到一个人无私的对你这么好了。"
5,ID_5_Number_64,"64 参照示例文案结构，文案仿写，要求文案结构一致，语言风格一致，主题父母，示例结构如下：在这个世界上，只有父母给我们吃的饭是免费的，其他每一餐都需要付出代价。
如果有一天啊你把父母的心伤透了，那在这世界上可能真的找不到一个人无私的对你这么好了。"
5,ID_5_Number_65,"65 参照示例文案结构，文案仿写，要求文案结构一致，语言风格一致，主题父母，示例结构如下：在这个世界上，只有父母给我们吃的饭是免费的，其他每一餐都需要付出代价。
如果有一天啊你把父母的心伤透了，那在这世界上可能真的找不到一个人无私的对你这么好了。"
5,ID_5_Number_66,"66 参照示例文案结构，文案仿写，要求文案结构一致，语言风格一致，主题父母，示例结构如下：在这个世界上，只有父母给我们吃的饭是免费的，其他每一餐都需要付出代价。
如果有一天啊你把父母的心伤透了，那在这世界上可能真的找不到一个人无私的对你这么好了。"
5,ID_5_Number_67,"67 参照示例文案结构，文案仿写，要求文案结构一致，语言风格一致，主题父母，示例结构如下：在这个世界上，只有父母给我们吃的饭是免费的，其他每一餐都需要付出代价。
如果有一天啊你把父母的心伤透了，那在这世界上可能真的找不到一个人无私的对你这么好了。"
5,ID_5_Number_68,"68 参照示例文案结构，文案仿写，要求文案结构一致，语言风格一致，主题父母，示例结构如下：在这个世界上，只有父母给我们吃的饭是免费的，其他每一餐都需要付出代价。
如果有一天啊你把父母的心伤透了，那在这世界上可能真的找不到一个人无私的对你这么好了。"
5,ID_5_Number_69,"69 参照示例文案结构，文案仿写，要求文案结构一致，语言风格一致，主题父母，示例结构如下：在这个世界上，只有父母给我们吃的饭是免费的，其他每一餐都需要付出代价。
如果有一天啊你把父母的心伤透了，那在这世界上可能真的找不到一个人无私的对你这么好了。"
5,ID_5_Number_70,"70 参照示例文案结构，文案仿写，要求文案结构一致，语言风格一致，主题父母，示例结构如下：在这个世界上，只有父母给我们吃的饭是免费的，其他每一餐都需要付出代价。
如果有一天啊你把父母的心伤透了，那在这世界上可能真的找不到一个人无私的对你这么好了。"
5,ID_5_Number_71,"71 参照示例文案结构，文案仿写，要求文案结构一致，语言风格一致，主题父母，示例结构如下：在这个世界上，只有父母给我们吃的饭是免费的，其他每一餐都需要付出代价。
如果有一天啊你把父母的心伤透了，那在这世界上可能真的找不到一个人无私的对你这么好了。"
5,ID_5_Number_72,"72 参照示例文案结构，文案仿写，要求文案结构一致，语言风格一致，主题父母，示例结构如下：在这个世界上，只有父母给我们吃的饭是免费的，其他每一餐都需要付出代价。
如果有一天啊你把父母的心伤透了，那在这世界上可能真的找不到一个人无私的对你这么好了。"
5,ID_5_Number_73,"73 参照示例文案结构，文案仿写，要求文案结构一致，语言风格一致，主题父母，示例结构如下：在这个世界上，只有父母给我们吃的饭是免费的，其他每一餐都需要付出代价。
如果有一天啊你把父母的心伤透了，那在这世界上可能真的找不到一个人无私的对你这么好了。"
5,ID_5_Number_74,"74 参照示例文案结构，文案仿写，要求文案结构一致，语言风格一致，主题父母，示例结构如下：在这个世界上，只有父母给我们吃的饭是免费的，其他每一餐都需要付出代价。
如果有一天啊你把父母的心伤透了，那在这世界上可能真的找不到一个人无私的对你这么好了。"
5,ID_5_Number_75,"75 参照示例文案结构，文案仿写，要求文案结构一致，语言风格一致，主题父母，示例结构如下：在这个世界上，只有父母给我们吃的饭是免费的，其他每一餐都需要付出代价。
如果有一天啊你把父母的心伤透了，那在这世界上可能真的找不到一个人无私的对你这么好了。"
5,ID_5_Number_76,"76 参照示例文案结构，文案仿写，要求文案结构一致，语言风格一致，主题父母，示例结构如下：在这个世界上，只有父母给我们吃的饭是免费的，其他每一餐都需要付出代价。
如果有一天啊你把父母的心伤透了，那在这世界上可能真的找不到一个人无私的对你这么好了。"
5,ID_5_Number_77,"77 参照示例文案结构，文案仿写，要求文案结构一致，语言风格一致，主题父母，示例结构如下：在这个世界上，只有父母给我们吃的饭是免费的，其他每一餐都需要付出代价。
如果有一天啊你把父母的心伤透了，那在这世界上可能真的找不到一个人无私的对你这么好了。"
5,ID_5_Number_78,"78 参照示例文案结构，文案仿写，要求文案结构一致，语言风格一致，主题父母，示例结构如下：在这个世界上，只有父母给我们吃的饭是免费的，其他每一餐都需要付出代价。
如果有一天啊你把父母的心伤透了，那在这世界上可能真的找不到一个人无私的对你这么好了。"
5,ID_5_Number_79,"79 参照示例文案结构，文案仿写，要求文案结构一致，语言风格一致，主题父母，示例结构如下：在这个世界上，只有父母给我们吃的饭是免费的，其他每一餐都需要付出代价。
如果有一天啊你把父母的心伤透了，那在这世界上可能真的找不到一个人无私的对你这么好了。"
5,ID_5_Number_80,"80 参照示例文案结构，文案仿写，要求文案结构一致，语言风格一致，主题父母，示例结构如下：在这个世界上，只有父母给我们吃的饭是免费的，其他每一餐都需要付出代价。
如果有一天啊你把父母的心伤透了，那在这世界上可能真的找不到一个人无私的对你这么好了。"
5,ID_5_Number_81,"81 参照示例文案结构，文案仿写，要求文案结构一致，语言风格一致，主题父母，示例结构如下：在这个世界上，只有父母给我们吃的饭是免费的，其他每一餐都需要付出代价。
如果有一天啊你把父母的心伤透了，那在这世界上可能真的找不到一个人无私的对你这么好了。"
5,ID_5_Number_82,"82 参照示例文案结构，文案仿写，要求文案结构一致，语言风格一致，主题父母，示例结构如下：在这个世界上，只有父母给我们吃的饭是免费的，其他每一餐都需要付出代价。
如果有一天啊你把父母的心伤透了，那在这世界上可能真的找不到一个人无私的对你这么好了。"
5,ID_5_Number_83,"83 参照示例文案结构，文案仿写，要求文案结构一致，语言风格一致，主题父母，示例结构如下：在这个世界上，只有父母给我们吃的饭是免费的，其他每一餐都需要付出代价。
如果有一天啊你把父母的心伤透了，那在这世界上可能真的找不到一个人无私的对你这么好了。"
5,ID_5_Number_84,"84 参照示例文案结构，文案仿写，要求文案结构一致，语言风格一致，主题父母，示例结构如下：在这个世界上，只有父母给我们吃的饭是免费的，其他每一餐都需要付出代价。
如果有一天啊你把父母的心伤透了，那在这世界上可能真的找不到一个人无私的对你这么好了。"
5,ID_5_Number_85,"85 参照示例文案结构，文案仿写，要求文案结构一致，语言风格一致，主题父母，示例结构如下：在这个世界上，只有父母给我们吃的饭是免费的，其他每一餐都需要付出代价。
如果有一天啊你把父母的心伤透了，那在这世界上可能真的找不到一个人无私的对你这么好了。"
5,ID_5_Number_86,"86 参照示例文案结构，文案仿写，要求文案结构一致，语言风格一致，主题父母，示例结构如下：在这个世界上，只有父母给我们吃的饭是免费的，其他每一餐都需要付出代价。
如果有一天啊你把父母的心伤透了，那在这世界上可能真的找不到一个人无私的对你这么好了。"
5,ID_5_Number_87,"87 参照示例文案结构，文案仿写，要求文案结构一致，语言风格一致，主题父母，示例结构如下：在这个世界上，只有父母给我们吃的饭是免费的，其他每一餐都需要付出代价。
如果有一天啊你把父母的心伤透了，那在这世界上可能真的找不到一个人无私的对你这么好了。"
5,ID_5_Number_88,"88 参照示例文案结构，文案仿写，要求文案结构一致，语言风格一致，主题父母，示例结构如下：在这个世界上，只有父母给我们吃的饭是免费的，其他每一餐都需要付出代价。
如果有一天啊你把父母的心伤透了，那在这世界上可能真的找不到一个人无私的对你这么好了。"
5,ID_5_Number_89,"89 参照示例文案结构，文案仿写，要求文案结构一致，语言风格一致，主题父母，示例结构如下：在这个世界上，只有父母给我们吃的饭是免费的，其他每一餐都需要付出代价。
如果有一天啊你把父母的心伤透了，那在这世界上可能真的找不到一个人无私的对你这么好了。"
5,ID_5_Number_90,"90 参照示例文案结构，文案仿写，要求文案结构一致，语言风格一致，主题父母，示例结构如下：在这个世界上，只有父母给我们吃的饭是免费的，其他每一餐都需要付出代价。
如果有一天啊你把父母的心伤透了，那在这世界上可能真的找不到一个人无私的对你这么好了。"
5,ID_5_Number_91,"91 参照示例文案结构，文案仿写，要求文案结构一致，语言风格一致，主题父母，示例结构如下：在这个世界上，只有父母给我们吃的饭是免费的，其他每一餐都需要付出代价。
如果有一天啊你把父母的心伤透了，那在这世界上可能真的找不到一个人无私的对你这么好了。"
5,ID_5_Number_92,"92 参照示例文案结构，文案仿写，要求文案结构一致，语言风格一致，主题父母，示例结构如下：在这个世界上，只有父母给我们吃的饭是免费的，其他每一餐都需要付出代价。
如果有一天啊你把父母的心伤透了，那在这世界上可能真的找不到一个人无私的对你这么好了。"
5,ID_5_Number_93,"93 参照示例文案结构，文案仿写，要求文案结构一致，语言风格一致，主题父母，示例结构如下：在这个世界上，只有父母给我们吃的饭是免费的，其他每一餐都需要付出代价。
如果有一天啊你把父母的心伤透了，那在这世界上可能真的找不到一个人无私的对你这么好了。"
5,ID_5_Number_94,"94 参照示例文案结构，文案仿写，要求文案结构一致，语言风格一致，主题父母，示例结构如下：在这个世界上，只有父母给我们吃的饭是免费的，其他每一餐都需要付出代价。
如果有一天啊你把父母的心伤透了，那在这世界上可能真的找不到一个人无私的对你这么好了。"
5,ID_5_Number_95,"95 参照示例文案结构，文案仿写，要求文案结构一致，语言风格一致，主题父母，示例结构如下：在这个世界上，只有父母给我们吃的饭是免费的，其他每一餐都需要付出代价。
如果有一天啊你把父母的心伤透了，那在这世界上可能真的找不到一个人无私的对你这么好了。"
5,ID_5_Number_96,"96 参照示例文案结构，文案仿写，要求文案结构一致，语言风格一致，主题父母，示例结构如下：在这个世界上，只有父母给我们吃的饭是免费的，其他每一餐都需要付出代价。
如果有一天啊你把父母的心伤透了，那在这世界上可能真的找不到一个人无私的对你这么好了。"
5,ID_5_Number_97,"97 参照示例文案结构，文案仿写，要求文案结构一致，语言风格一致，主题父母，示例结构如下：在这个世界上，只有父母给我们吃的饭是免费的，其他每一餐都需要付出代价。
如果有一天啊你把父母的心伤透了，那在这世界上可能真的找不到一个人无私的对你这么好了。"
